"epoch","complex_kitti - _step","complex_kitti - _step__MIN","complex_kitti - _step__MAX","complex_kitti - train/mIOU_epoch","complex_kitti - train/mIOU_epoch__MIN","complex_kitti - train/mIOU_epoch__MAX","streetview-low_kitti - _step","streetview-low_kitti - _step__MIN","streetview-low_kitti - _step__MAX","streetview-low_kitti - train/mIOU_epoch","streetview-low_kitti - train/mIOU_epoch__MIN","streetview-low_kitti - train/mIOU_epoch__MAX","streetview-high_kitti - _step","streetview-high_kitti - _step__MIN","streetview-high_kitti - _step__MAX","streetview-high_kitti - train/mIOU_epoch","streetview-high_kitti - train/mIOU_epoch__MIN","streetview-high_kitti - train/mIOU_epoch__MAX","KITTI - _step","KITTI - _step__MIN","KITTI - _step__MAX","KITTI - train/mIOU_epoch","KITTI - train/mIOU_epoch__MIN","KITTI - train/mIOU_epoch__MAX","cameraview_low_kitti - _step","cameraview_low_kitti - _step__MIN","cameraview_low_kitti - _step__MAX","cameraview_low_kitti - train/mIOU_epoch","cameraview_low_kitti - train/mIOU_epoch__MIN","cameraview_low_kitti - train/mIOU_epoch__MAX","cameraview_high_kitti - _step","cameraview_high_kitti - _step__MIN","cameraview_high_kitti - _step__MAX","cameraview_high_kitti - train/mIOU_epoch","cameraview_high_kitti - train/mIOU_epoch__MIN","cameraview_high_kitti - train/mIOU_epoch__MAX","citiscape_kitti - _step","citiscape_kitti - _step__MIN","citiscape_kitti - _step__MAX","citiscape_kitti - train/mIOU_epoch","citiscape_kitti - train/mIOU_epoch__MIN","citiscape_kitti - train/mIOU_epoch__MAX"
"0","11","11","11","0.08269492536783218","0.08269492536783218","0.08269492536783218","11","11","11","0.07621021568775177","0.07621021568775177","0.07621021568775177","11","11","11","0.07045579701662064","0.07045579701662064","0.07045579701662064","11","11","11","0.04391295462846756","0.04391295462846756","0.04391295462846756","11","11","11","0.07383262366056442","0.07383262366056442","0.07383262366056442","11","11","11","0.07113806158304214","0.07113806158304214","0.07113806158304214","11","11","11","0.09648328274488449","0.09648328274488449","0.09648328274488449"
"1","24","24","24","0.16969338059425354","0.16969338059425354","0.16969338059425354","24","24","24","0.16752305626869202","0.16752305626869202","0.16752305626869202","24","24","24","0.14590032398700714","0.14590032398700714","0.14590032398700714","24","24","24","0.0926855280995369","0.0926855280995369","0.0926855280995369","24","24","24","0.14388683438301086","0.14388683438301086","0.14388683438301086","24","24","24","0.13207532465457916","0.13207532465457916","0.13207532465457916","24","24","24","0.17894861102104187","0.17894861102104187","0.17894861102104187"
"2","37","37","37","0.20738963782787323","0.20738963782787323","0.20738963782787323","37","37","37","0.1962805539369583","0.1962805539369583","0.1962805539369583","37","37","37","0.18235811591148376","0.18235811591148376","0.18235811591148376","37","37","37","0.11808164417743683","0.11808164417743683","0.11808164417743683","37","37","37","0.15720756351947784","0.15720756351947784","0.15720756351947784","37","37","37","0.1572474241256714","0.1572474241256714","0.1572474241256714","37","37","37","0.2323881834745407","0.2323881834745407","0.2323881834745407"
"3","50","50","50","0.2193724811077118","0.2193724811077118","0.2193724811077118","50","50","50","0.21806463599205017","0.21806463599205017","0.21806463599205017","50","50","50","0.20049142837524414","0.20049142837524414","0.20049142837524414","50","50","50","0.13250501453876495","0.13250501453876495","0.13250501453876495","50","50","50","0.16349340975284576","0.16349340975284576","0.16349340975284576","50","50","50","0.17237497866153717","0.17237497866153717","0.17237497866153717","50","50","50","0.25236696004867554","0.25236696004867554","0.25236696004867554"
"4","63","63","63","0.22989940643310547","0.22989940643310547","0.22989940643310547","63","63","63","0.2282828390598297","0.2282828390598297","0.2282828390598297","63","63","63","0.21946673095226288","0.21946673095226288","0.21946673095226288","63","63","63","0.14940199255943298","0.14940199255943298","0.14940199255943298","63","63","63","0.1680258810520172","0.1680258810520172","0.1680258810520172","63","63","63","0.18373116850852966","0.18373116850852966","0.18373116850852966","63","63","63","0.26129525899887085","0.26129525899887085","0.26129525899887085"
"5","75","75","75","0.23918357491493225","0.23918357491493225","0.23918357491493225","75","75","75","0.24160420894622803","0.24160420894622803","0.24160420894622803","75","75","75","0.23068156838417053","0.23068156838417053","0.23068156838417053","75","75","75","0.16440449655056","0.16440449655056","0.16440449655056","75","75","75","0.18542711436748505","0.18542711436748505","0.18542711436748505","75","75","75","0.2078474462032318","0.2078474462032318","0.2078474462032318","75","75","75","0.2666102945804596","0.2666102945804596","0.2666102945804596"
"6","88","88","88","0.23957546055316925","0.23957546055316925","0.23957546055316925","88","88","88","0.24321086704730988","0.24321086704730988","0.24321086704730988","88","88","88","0.23424598574638367","0.23424598574638367","0.23424598574638367","88","88","88","0.17037703096866608","0.17037703096866608","0.17037703096866608","88","88","88","0.19592371582984924","0.19592371582984924","0.19592371582984924","88","88","88","0.21864616870880127","0.21864616870880127","0.21864616870880127","88","88","88","0.2767976224422455","0.2767976224422455","0.2767976224422455"
"7","101","101","101","0.24197809398174286","0.24197809398174286","0.24197809398174286","101","101","101","0.2402658462524414","0.2402658462524414","0.2402658462524414","101","101","101","0.23453769087791443","0.23453769087791443","0.23453769087791443","101","101","101","0.1725829541683197","0.1725829541683197","0.1725829541683197","101","101","101","0.19626770913600922","0.19626770913600922","0.19626770913600922","101","101","101","0.2255859076976776","0.2255859076976776","0.2255859076976776","101","101","101","0.2885529696941376","0.2885529696941376","0.2885529696941376"
"8","114","114","114","0.24711601436138153","0.24711601436138153","0.24711601436138153","114","114","114","0.24702854454517365","0.24702854454517365","0.24702854454517365","114","114","114","0.2393372356891632","0.2393372356891632","0.2393372356891632","114","114","114","0.17984676361083984","0.17984676361083984","0.17984676361083984","114","114","114","0.2021470069885254","0.2021470069885254","0.2021470069885254","114","114","114","0.22986280918121338","0.22986280918121338","0.22986280918121338","114","114","114","0.2942529618740082","0.2942529618740082","0.2942529618740082"
"9","127","127","127","0.24842126667499542","0.24842126667499542","0.24842126667499542","127","127","127","0.24736253917217255","0.24736253917217255","0.24736253917217255","127","127","127","0.2371537685394287","0.2371537685394287","0.2371537685394287","127","127","127","0.18236422538757324","0.18236422538757324","0.18236422538757324","127","127","127","0.20276829600334167","0.20276829600334167","0.20276829600334167","127","127","127","0.2378261834383011","0.2378261834383011","0.2378261834383011","127","127","127","0.2951051592826843","0.2951051592826843","0.2951051592826843"
"10","139","139","139","0.2458711415529251","0.2458711415529251","0.2458711415529251","139","139","139","0.25300776958465576","0.25300776958465576","0.25300776958465576","139","139","139","0.24342890083789825","0.24342890083789825","0.24342890083789825","139","139","139","0.1805785894393921","0.1805785894393921","0.1805785894393921","139","139","139","0.2060914933681488","0.2060914933681488","0.2060914933681488","139","139","139","0.23421914875507355","0.23421914875507355","0.23421914875507355","139","139","139","0.3011976182460785","0.3011976182460785","0.3011976182460785"
